Emissão;CTRC;Cliente;Peso;Remetente;C. Pedido;Destinatário;Valor Nota;CFOP;CST;Frete Valor;BC ST;Alíquota ICMSST;ICMS ST
19/01/2026;110215;LACTALIS COMERCIO E DISTRIBUICAO - BA;707.8770;LACTALIS COMERCIO E DISTRIBUICAO - BA;DESCARGA;SENDAS DISTRIBUIDORA SA;8303.80;6352;060 - ICMS cobrado por substituição tributária;6000;6818;1200;818
01/01/2026;110219;LACTALIS COMERCIO E DISTRIBUICAO - BA;6859.9510;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172491;MAFRIOS DIST E IMPORTADORA LTDA;72888.18;6352;060 - ICMS cobrado por substituição tributária;4.554,75;5.175,85;1200;62110
05/01/2026;110354;LACTALIS COMERCIO E DISTRIBUICAO - BA;423.6400;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172492;SENDAS DISTRIBUIDORA SA;4655.32;6352;060 - ICMS cobrado por substituição tributária;42264;48027;1200;5763
05/01/2026;110355;LACTALIS COMERCIO E DISTRIBUICAO - BA;401.6100;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172492;ATAKAREJO DIST DE ALIM E BEB SA;3374.00;6352;060 - ICMS cobrado por substituição tributária;40064;45527;1200;5463
05/01/2026;110356;LACTALIS COMERCIO E DISTRIBUICAO - BA;536.9200;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172492;ATAKAREJO DIST DE ALIM E BEB SA;6070.80;6352;060 - ICMS cobrado por substituição tributária;53563;60867;1200;7304
05/01/2026;110357;LACTALIS COMERCIO E DISTRIBUICAO - BA;697.2000;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172492;ATAKAREJO DIST DE ALIM E BEB SA ATAKAREJO;8641.19;6352;060 - ICMS cobrado por substituição tributária;69550;79034;1200;9484
05/01/2026;110358;ITAMBE COMERCIO E DISTRIBUICAO - BA;1065.3500;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172492;DISTRIBUIDORA TIO LUIZ LTDA;12526.38;6352;060 - ICMS cobrado por substituição tributária;1.062,74;1.207,66;1200;14492
05/01/2026;110359;ITAMBE COMERCIO E DISTRIBUICAO - BA;332.2500;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172492;ATAKAREJO DIST DE ALIM E BEB SA;3620.41;6352;060 - ICMS cobrado por substituição tributária;33145;37665;1200;4520
05/01/2026;110360;ITAMBE COMERCIO E DISTRIBUICAO - BA;374.9500;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172492;ATAKAREJO DIST DE ALIM E BEB SA;4317.40;6352;060 - ICMS cobrado por substituição tributária;37404;42505;1200;5101
05/01/2026;110361;ITAMBE COMERCIO E DISTRIBUICAO - BA;734.0800;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172492;ATAKAREJO DIST DE ALIM E BEB SA ATAKAREJO;8197.36;6352;060 - ICMS cobrado por substituição tributária;73228;83214;1200;9986
05/01/2026;110363;LACTALIS COMERCIO E DISTRIBUICAO - BA;596.7900;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172495;SENDAS DISTRIBUIDORA SA;5972.34;6352;060 - ICMS cobrado por substituição tributária;1.000,23;1.136,63;1200;13640
05/01/2026;110378;LACTALIS COMERCIO E DISTRIBUICAO - BA;390.3700;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172494;SENDAS DISTRIBUIDORA SA;4539.46;6352;060 - ICMS cobrado por substituição tributária;64116;72859;1200;8743
05/01/2026;110389;LACTALIS COMERCIO E DISTRIBUICAO - BA;562.5700;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172493;SENDAS DISTRIBUIDORA SA;5671.68;6352;060 - ICMS cobrado por substituição tributária;59976;68155;1200;8179
05/01/2026;110390;LACTALIS COMERCIO E DISTRIBUICAO - BA;512.9100;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172494;SENDAS DISTRIBUIDORA SA;6082.92;6352;060 - ICMS cobrado por substituição tributária;84241;95728;1200;11487
05/01/2026;110393;LACTALIS COMERCIO E DISTRIBUICAO - BA;11.8000;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172493;WMS SUPERMERCADOS DO BRASIL LTDA;1059.00;6352;060 - ICMS cobrado por substituição tributária;1258;1430;1200;172
05/01/2026;110401;LACTALIS COMERCIO E DISTRIBUICAO - BA;1163.1400;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172493;ATAKAREJO DIST DE ALIM E BEB SA;17220.35;6352;060 - ICMS cobrado por substituição tributária;1.240,07;1.409,17;1200;16910
05/01/2026;110408;LACTALIS COMERCIO E DISTRIBUICAO - BA;304.9000;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172494;ATAKAREJO DIST DE ALIM E BEB SA;4469.22;6352;060 - ICMS cobrado por substituição tributária;50078;56907;1200;6829
05/01/2026;110410;LACTALIS COMERCIO E DISTRIBUICAO - BA;728.9300;LACTALIS COMERCIO E DISTRIBUICAO - BA;53172495;ATAKAREJO DIST DE ALIM E BEB SA ATAKAREJO;8764.84;6352;060 - ICMS cobrado por substituição tributária;1.221,71;1.388,31;1200;16660
05/01/2026;110426;ITAMBE COMERCIO E DISTRIBUICAO - BA;747.1000;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172495;MATEUS SUPERMERCADOS SA;9012.84;6352;060 - ICMS cobrado por substituição tributária;1.252,13;1.422,88;1200;17075
05/01/2026;110432;ITAMBE COMERCIO E DISTRIBUICAO - BA;984.1800;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172493;ATAKAREJO DIST DE ALIM E BEB SA;14111.32;6352;060 - ICMS cobrado por substituição tributária;1.049,26;1.192,34;1200;14308
05/01/2026;110434;ITAMBE COMERCIO E DISTRIBUICAO - BA;536.9200;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172493;MATEUS SUPERMERCADOS SA;5712.96;6352;060 - ICMS cobrado por substituição tributária;57243;65049;1200;7806
05/01/2026;110439;ITAMBE COMERCIO E DISTRIBUICAO - BA;907.0200;ITAMBE COMERCIO E DISTRIBUICAO - BA;53172494;ATAKAREJO DIST DE ALIM E BEB SA;10017.66;6352;060 - ICMS cobrado por substituição tributária;1.489,75;1.692,90;1200;20315
12/01/2026;110832;ITAMBE COMERCIO E DISTRIBUICAO - BA;674.9700;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191640;SENDAS DISTRIBUIDORA SA;5797.87;6352;060 - ICMS cobrado por substituição tributária;76606;87052;1200;10446
12/01/2026;110833;ITAMBE COMERCIO E DISTRIBUICAO - BA;583.4000;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191671;MATEUS SUPERMERCADOS SA;8022.32;6352;060 - ICMS cobrado por substituição tributária;67288;76464;1200;9176
12/01/2026;110834;ITAMBE COMERCIO E DISTRIBUICAO - BA;56.2800;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191675;MATEUS SUPERMERCADOS SA;827.88;6352;060 - ICMS cobrado por substituição tributária;8465;9619;1200;1154
12/01/2026;110835;ITAMBE COMERCIO E DISTRIBUICAO - BA;305.7700;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191671;ATAKAREJO DIST DE ALIM E BEB SA;4112.92;6352;060 - ICMS cobrado por substituição tributária;35266;40075;1200;4809
12/01/2026;110836;ITAMBE COMERCIO E DISTRIBUICAO - BA;448.8300;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191640;MATEUS SUPERMERCADOS SA;5449.46;6352;060 - ICMS cobrado por substituição tributária;50939;57885;1200;6946
12/01/2026;110837;ITAMBE COMERCIO E DISTRIBUICAO - BA;1556.8300;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191675;DISTRIBUIDORA TIO LUIZ LTDA;16173.32;6352;060 - ICMS cobrado por substituição tributária;2.341,77;2.661,10;1200;31933
12/01/2026;110838;ITAMBE COMERCIO E DISTRIBUICAO - BA;247.2700;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191675;ATAKAREJO DIST DE ALIM E BEB SA;3011.15;6352;060 - ICMS cobrado por substituição tributária;37194;42266;1200;5072
12/01/2026;110841;LACTALIS COMERCIO E DISTRIBUICAO - BA;1375.5800;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191640;SENDAS DISTRIBUIDORA SA;11793.12;6352;060 - ICMS cobrado por substituição tributária;1.561,20;1.774,09;1200;21289
12/01/2026;110842;LACTALIS COMERCIO E DISTRIBUICAO - BA;903.2100;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191671;MATEUS SUPERMERCADOS SA;10647.26;6352;060 - ICMS cobrado por substituição tributária;1.041,78;1.183,84;1200;14206
12/01/2026;110844;LACTALIS COMERCIO E DISTRIBUICAO - BA;1219.6600;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191671;ATAKAREJO DIST DE ALIM E BEB SA;16466.68;6352;060 - ICMS cobrado por substituição tributária;1.406,75;1.598,58;1200;19183
12/01/2026;110845;LACTALIS COMERCIO E DISTRIBUICAO - BA;561.6100;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191640;MATEUS SUPERMERCADOS SA;11004.70;6352;060 - ICMS cobrado por substituição tributária;63741;72433;1200;8692
12/01/2026;110846;LACTALIS COMERCIO E DISTRIBUICAO - BA;746.5700;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191675;ATAKAREJO DIST DE ALIM E BEB SA;7648.20;6352;060 - ICMS cobrado por substituição tributária;1.122,96;1.276,09;1200;15313
12/01/2026;110848;ITAMBE COMERCIO E DISTRIBUICAO - BA;145.0300;ITAMBE COMERCIO E DISTRIBUICAO - BA;53190715;MERCANTIL RODRIGUES COMERCIAL LTDA;1409.13;6352;060 - ICMS cobrado por substituição tributária;19729;22419;1200;2690
12/01/2026;110849;ITAMBE COMERCIO E DISTRIBUICAO - BA;173.4300;ITAMBE COMERCIO E DISTRIBUICAO - BA;53190715;CHOCOLAMOUR COM TORTAS FINAS LTDA E;3238.80;6352;060 - ICMS cobrado por substituição tributária;23591;26808;1200;3217
12/01/2026;110850;ITAMBE COMERCIO E DISTRIBUICAO - BA;1958.7200;ITAMBE COMERCIO E DISTRIBUICAO - BA;53190715;SLPPB ALIMENTACOES LTDA;28584.24;6352;060 - ICMS cobrado por substituição tributária;2.664,51;3.027,85;1200;36334
12/01/2026;110851;ITAMBE COMERCIO E DISTRIBUICAO - BA;276.6600;ITAMBE COMERCIO E DISTRIBUICAO - BA;53190715;CASA DA BAVIERA LTDA;5006.40;6352;060 - ICMS cobrado por substituição tributária;37635;42767;1200;5132
12/01/2026;110852;LACTALIS COMERCIO E DISTRIBUICAO - BA;1376.7300;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191672;SENDAS DISTRIBUIDORA SA;12912.88;6352;060 - ICMS cobrado por substituição tributária;1.663,89;1.890,78;1200;22689
12/01/2026;110853;LACTALIS COMERCIO E DISTRIBUICAO - BA;635.6000;LACTALIS COMERCIO E DISTRIBUICAO - BA;53191672;WMS SUPERMERCADOS DO BRASIL LTDA;5377.60;6352;060 - ICMS cobrado por substituição tributária;76817;87292;1200;10475
12/01/2026;110854;ITAMBE COMERCIO E DISTRIBUICAO - BA;671.2900;ITAMBE COMERCIO E DISTRIBUICAO - BA;53191672;SENDAS DISTRIBUIDORA SA;5688.19;6352;060 - ICMS cobrado por substituição tributária;81130;92193;1200;11063
